country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
Mauritius,1964,6184,7677,-1493,80.55229908
Mexico,1959,396924,492873,-95949,80.5327133
Panama,1963,8921,11078,-2157,80.52897635
El Salvador,1997,29134,36179,-7045,80.52737776
Kyrgyzstan,1992,32164,39944,-7780,80.52273182
Uzbekistan,1998,140526,174543,-34017,80.51081968
Oman,2018,8091,10054,-1963,80.47543266
Bahamas,2012,1993,2477,-484,80.46023415
Saint Lucia,2018,1141,1419,-278,80.40873855
Venezuela,1968,64572,80349,-15777,80.36441026
Antigua and Barbuda,1962,405,504,-99,80.35714286
Georgia,1990,45945,57177,-11232,80.35573745
Turkmenistan,2001,25840,32158,-6318,80.3532558
Cape Verde,2011,2521,3138,-617,80.33779477
Colombia,1985,153947,191701,-37754,80.3057887
Georgia,1992,46684,58142,-11458,80.29307557
Uzbekistan,1991,130294,162275,-31981,80.29209675
Dominica,2008,545,679,-134,80.26509573
Philippines,1999,348028,433612,-85584,80.26253886
Uzbekistan,2003,135933,169366,-33433,80.25991049
Singapore,2010,16475,20528,-4053,80.25623539
Uzbekistan,2005,140585,175394,-34809,80.1538251
Philippines,1966,240865,300628,-59763,80.12061418
Singapore,2012,17273,21561,-4288,80.11223969
Jamaica,1985,13860,17305,-3445,80.09245883
Singapore,2011,16887,21086,-4199,80.08631319
Kyrgyzstan,1987,30597,38207,-7610,80.08218389
Sri Lanka,2011,123183,153831,-30648,80.07683757
El Salvador,2001,29574,36945,-7371,80.04872107
Nicaragua,2016,23738,29656,-5918,80.04451039
Bahamas,1984,1139,1423,-284,80.04216444
Guatemala,1989,61548,76895,-15347,80.04161519
Kyrgyzstan,1981,29591,36971,-7380,80.03840848
Azerbaijan,2004,49568,61935,-12367,80.03229192
Uzbekistan,2016,154791,193460,-38669,80.01188876
Singapore,2014,18237,22809,-4572,79.95528081
Venezuela,2001,110528,138279,-27751,79.93115368
Dominica,1997,513,642,-129,79.90654206
El Salvador,2000,28167,35323,-7156,79.74124508
Jamaica,2004,14394,18053,-3659,79.73190052
Paraguay,2011,25696,32233,-6537,79.71954208
Dominica,2003,557,699,-142,79.68526466
Moldova,2013,38060,47772,-9712,79.67009964
Egypt,1972,479240,601823,-122583,79.63138664
Azerbaijan,2003,49379,62027,-12648,79.60888
El Salvador,2009,32872,41304,-8432,79.5855123
Antigua and Barbuda,1986,374,470,-96,79.57446809
El Salvador,1999,28078,35296,-7218,79.55009066
Dominica,1994,529,665,-136,79.54887218
Dominica,1985,466,586,-120,79.5221843
Saint Kitts and Nevis,2013,353,444,-91,79.5045045
Philippines,1967,241548,303846,-62298,79.49685038
Uzbekistan,1981,117793,148228,-30435,79.46744205
Nicaragua,2017,23826,29983,-6157,79.46503018
Saint Lucia,2009,974,1226,-252,79.44535073
Panama,1975,8693,10947,-2254,79.40988399
Philippines,1995,324737,409301,-84564,79.33941036
Guyana,1996,4811,6064,-1253,79.33707124
Philippines,1994,321440,405162,-83722,79.33616677
Paraguay,2009,25079,31617,-6538,79.32125123
Syria,2006,57160,72078,-14918,79.30297733
Ecuador,1967,58317,73547,-15230,79.29215332
Azerbaijan,2007,50439,63623,-13184,79.27793408
Saint Kitts and Nevis,2015,371,468,-97,79.27350427
Mexico,1962,378104,477192,-99088,79.23519254
Turkmenistan,1999,25578,32283,-6705,79.23055478
Singapore,2015,18640,23533,-4893,79.20792079
Paraguay,2012,25657,32412,-6755,79.15895347
Ecuador,1985,51134,64605,-13471,79.1486727
Maldives,2000,996,1259,-263,79.11040508
Uzbekistan,1990,124553,157484,-32931,79.08930431
Maldives,2019,1132,1432,-300,79.05027933
Grenada,2001,606,767,-161,79.00912647
Uzbekistan,2012,145988,184821,-38833,78.98885949
Uzbekistan,2015,152035,192576,-40541,78.94805168
Brunei,2018,1612,2042,-430,78.94221352
Bahamas,1983,1104,1399,-295,78.91350965
Mauritius,1961,6505,8244,-1739,78.90587094
Uzbekistan,2000,135598,171848,-36250,78.9057772
Qatar,2020,2734,3465,-731,78.9033189
Ecuador,1982,53009,67220,-14211,78.85897054
Jamaica,1984,13706,17381,-3675,78.85622231
Belize,1980,815,1034,-219,78.82011605
Dominica,1980,387,491,-104,78.81873727
Syria,2009,63336,80361,-17025,78.81435024
Mauritius,1974,6221,7898,-1677,78.7667764
Nicaragua,2019,24317,30875,-6558,78.75951417
Jamaica,1983,13646,17342,-3696,78.68757929
Kyrgyzstan,1991,30859,39251,-8392,78.619653
Mauritius,1967,6543,8324,-1781,78.60403652
Philippines,1993,318546,405375,-86829,78.58057354
Brunei,2008,1091,1389,-298,78.54571634
Saint Kitts and Nevis,1971,439,559,-120,78.53309481
Barbados,1982,1723,2194,-471,78.53236098
Dominica,2007,567,722,-155,78.53185596
Singapore,2017,19763,25169,-5406,78.52119671
Uzbekistan,2011,143253,182466,-39213,78.50942093
El Salvador,2010,32586,41506,-8920,78.50913121
Brazil,1988,833369,1061700,-228331,78.49383065
Nicaragua,2014,22449,28600,-6151,78.49300699
Uzbekistan,2014,149761,190796,-41035,78.4927357
Dominica,1984,427,544,-117,78.49264706
Thailand,1987,232968,296854,-63886,78.47898293
Philippines,1992,319579,407560,-87981,78.41274904
Saint Kitts and Nevis,2010,344,439,-95,78.35990888
Egypt,1977,457558,584282,-126724,78.31115797
El Salvador,1996,28904,36911,-8007,78.30727967
Kyrgyzstan,1982,29194,37296,-8102,78.27649078
Belize,1996,887,1134,-247,78.21869489
Kyrgyzstan,1990,30580,39099,-8519,78.21171897
Sri Lanka,1960,84918,108578,-23660,78.20921365
