country,year,total_deaths_that_are_from_all_causes__in_both_sexes_aged_all_ages,total_estimated_deaths,difference,share_deaths_with_cause
Antigua and Barbuda,1974,496,376,120,131.9148936
Saint Vincent and the Grenadines,1972,890,694,196,128.2420749
Antigua and Barbuda,1976,491,385,106,127.5324675
Antigua and Barbuda,1977,496,394,102,125.8883249
Grenada,2021,1275,1016,259,125.492126
Antigua and Barbuda,1972,455,374,81,121.657754
Antigua and Barbuda,1975,463,382,81,121.2041885
Kuwait,1998,4215,3501,714,120.3941731
Dominica,2020,700,588,112,119.047619
Malta,1978,3380,2844,536,118.8466948
Kuwait,2001,4364,3696,668,118.0735931
Saint Vincent and the Grenadines,2014,995,845,150,117.7514793
Kuwait,1999,4186,3557,629,117.6834411
Kuwait,2000,4227,3596,631,117.5472747
Antigua and Barbuda,2014,580,494,86,117.4089069
Antigua and Barbuda,1963,574,489,85,117.3824131
Kuwait,1997,4017,3457,560,116.1990165
Martinique,2014,3314,2894,420,114.5127851
Malta,1980,3301,2883,418,114.498786
Seychelles,2011,688,601,87,114.4758735
Antigua and Barbuda,2019,618,540,78,114.4444444
Grenada,2002,888,776,112,114.4329897
Saint Vincent and the Grenadines,2008,804,704,100,114.2045455
Antigua and Barbuda,1966,492,433,59,113.6258661
Singapore,1964,10510,9265,1245,113.4376686
Guadeloupe,2014,3279,2894,385,113.3033863
Kuwait,2002,4342,3833,509,113.2794156
Mayotte,2016,717,633,84,113.2701422
Saint Vincent and the Grenadines,1977,778,688,90,113.0813953
Bahrain,2004,2208,1962,246,112.5382263
Kuwait,1996,3812,3406,406,111.9201409
Seychelles,2013,717,641,76,111.8564743
Seychelles,2005,673,602,71,111.7940199
Singapore,1963,10214,9143,1071,111.7138795
Singapore,1965,10381,9302,1079,111.599656
Trinidad and Tobago,2004,9872,8849,1023,111.5606283
Seychelles,2003,668,599,69,111.5191987
Kuwait,2004,4793,4305,488,111.3356562
Guadeloupe,2016,3227,2899,328,111.3142463
Barbados,1961,2410,2166,244,111.2650046
Kuwait,2006,5247,4716,531,111.259542
Saint Lucia,1987,925,832,93,111.1778846
Seychelles,2009,684,616,68,111.038961
Kuwait,2009,5935,5345,590,111.0383536
Antigua and Barbuda,1971,414,373,41,110.9919571
Bahrain,2003,2107,1900,207,110.8947368
Singapore,1966,10552,9529,1023,110.7356491
Saint Lucia,1992,970,876,94,110.7305936
Barbados,1976,2343,2116,227,110.7277883
Bahrain,2012,2613,2360,253,110.720339
Singapore,1968,11050,9990,1060,110.6106106
Bahrain,2000,2033,1838,195,110.609358
Saint Vincent and the Grenadines,2011,870,787,83,110.5463787
Kuwait,1995,3781,3425,356,110.3941606
Bahrain,2008,2390,2168,222,110.2398524
Malta,2017,3571,3240,331,110.2160494
Trinidad and Tobago,2005,9885,8969,916,110.2129557
Kuwait,2003,4424,4015,409,110.1867995
Saint Lucia,1990,954,866,88,110.1616628
Saint Vincent and the Grenadines,2005,815,740,75,110.1351351
Saint Lucia,1972,971,883,88,109.9660249
Seychelles,2006,664,604,60,109.9337748
Bahrain,2006,2317,2110,207,109.8104265
Malta,1981,3137,2857,280,109.80049
Trinidad and Tobago,2002,9624,8767,857,109.7752937
Malta,1983,3208,2925,283,109.6752137
Malta,1975,3009,2744,265,109.6574344
Singapore,1967,10617,9684,933,109.6344486
Bahrain,2005,2215,2021,194,109.5992083
Kuwait,2008,5701,5203,498,109.5714011
Uruguay,2007,33783,30834,2949,109.5641175
Seychelles,2014,725,662,63,109.5166163
Trinidad and Tobago,2009,9693,8859,834,109.4141551
Antigua and Barbuda,2008,528,483,45,109.3167702
Belize,2000,1534,1404,130,109.2592593
Grenada,2008,857,785,72,109.1719745
Grenada,2014,964,886,78,108.8036117
Saint Vincent and the Grenadines,1970,738,679,59,108.6892489
Maldives,2012,1199,1104,95,108.6050725
Bahrain,2002,2035,1874,161,108.5912487
Martinique,2010,2854,2630,224,108.5171103
Grenada,1994,780,719,61,108.4840056
Antigua and Barbuda,1970,411,379,32,108.4432718
Malta,1987,2956,2728,228,108.3577713
Georgia,2016,50771,46865,3906,108.334578
Seychelles,2008,663,612,51,108.3333333
Belarus,1996,142943,131981,10962,108.305741
Bahrain,1998,1997,1845,152,108.2384824
Bahrain,2001,1979,1831,148,108.0830147
Sri Lanka,1984,100725,93258,7467,108.0068198
Saint Vincent and the Grenadines,2010,823,762,61,108.0052493
Kuwait,2005,4784,4431,353,107.966599
Saint Vincent and the Grenadines,1971,733,679,54,107.9528719
Trinidad and Tobago,2010,10219,9467,752,107.9433823
Uruguay,1999,32431,30082,2349,107.8086563
Uruguay,2003,32577,30236,2341,107.7424262
Martinique,2007,2809,2608,201,107.7070552
Saint Vincent and the Grenadines,2009,777,722,55,107.6177285
Saint Lucia,1993,953,886,67,107.5620767
Guadeloupe,2010,3018,2806,212,107.5552388
Trinidad and Tobago,1998,9636,8960,676,107.5446429
Bahrain,2009,2387,2220,167,107.5225225
Antigua and Barbuda,2017,563,524,39,107.4427481
Trinidad and Tobago,2008,10463,9739,724,107.4340281
Seychelles,2019,795,740,55,107.4324324
Singapore,1973,11920,11100,820,107.3873874
Malta,2015,3443,3208,235,107.3254364
Seychelles,2010,664,619,45,107.26979
Bahrain,2011,2527,2356,171,107.2580645
Malta,1976,3051,2849,202,107.0902071
Romania,2009,257213,240290,16923,107.04274
Trinidad and Tobago,1996,9376,8767,609,106.9465039
Seychelles,2002,647,605,42,106.9421488
Kuwait,2007,5293,4954,339,106.8429552
Trinidad and Tobago,2003,10206,9553,653,106.835549
Puerto Rico,1964,18566,17379,1187,106.8300823
Trinidad and Tobago,2001,9753,9130,623,106.8236583
Malta,1979,3063,2868,195,106.7991632
Antigua and Barbuda,2018,566,530,36,106.7924528
Antigua and Barbuda,1969,410,384,26,106.7708333
Belize,2013,1611,1509,102,106.7594433
Uruguay,1988,30900,28955,1945,106.71732
Antigua and Barbuda,2004,511,479,32,106.6805846
Serbia,1998,99376,93157,6219,106.6758268
South Korea,2001,243813,228813,15000,106.5555716
Chile,1960,95486,89653,5833,106.5061961
Bahrain,2013,2569,2413,156,106.4649814
Romania,2018,264963,248910,16053,106.449319
Saint Vincent and the Grenadines,2007,751,706,45,106.3739377
Romania,2017,262321,246673,15648,106.3436209
Bahrain,2007,2270,2136,134,106.2734082
Uruguay,2004,32193,30337,1856,106.1179418
Barbados,2003,2648,2496,152,106.0897436
South Korea,2002,247524,233316,14208,106.0895952
Trinidad and Tobago,1995,9042,8524,518,106.0769592
Uruguay,1998,31917,30090,1827,106.0717846
Maldives,2011,1182,1115,67,106.0089686
Saint Vincent and the Grenadines,1978,742,700,42,106
Grenada,1990,779,735,44,105.9863946
Mauritius,2021,13274,12527,747,105.9631197
Uruguay,1993,31613,29851,1762,105.9026498
New Zealand,2015,31796,30037,1759,105.8561108
Singapore,1977,11952,11298,654,105.7886352
Saint Vincent and the Grenadines,2006,769,727,42,105.7771664
Uruguay,1980,29823,28196,1627,105.770322
Saint Lucia,1986,847,801,46,105.7428215
Antigua and Barbuda,2016,542,513,29,105.6530214
Martinique,2016,3285,3112,173,105.559126
Saint Lucia,1991,917,869,48,105.5235903
Chile,1962,94874,89913,4961,105.5175559
Uruguay,1984,29990,28426,1564,105.5020052
Chile,1988,74435,70562,3873,105.48879
Singapore,1971,11329,10740,589,105.4841713
Mayotte,2015,635,602,33,105.4817276
Malta,1973,2994,2839,155,105.4596689
Saint Vincent and the Grenadines,2013,911,864,47,105.4398148
Chile,1964,94058,89242,4816,105.3965622
Singapore,1974,11674,11077,597,105.3895459
Uruguay,1995,31700,30080,1620,105.3856383
Malta,1972,2888,2741,147,105.3630062
New Zealand,2014,31164,29588,1576,105.3264837
South Korea,2000,248740,236180,12560,105.3179778
Jamaica,2014,18320,17403,917,105.2692065
Malta,1974,2822,2682,140,105.2199851
Germany,2019,939520,893404,46116,105.1618305
Germany,2018,954874,908011,46863,105.1610608
Martinique,2013,2896,2755,141,105.1179673
Malta,1998,3044,2896,148,105.1104972
Uruguay,1971,28521,27146,1375,105.065203
Georgia,2021,59906,57023,2883,105.0558547
Romania,2019,259889,247408,12481,105.0447035
Romania,2008,253202,241067,12135,105.0338703
Belize,2015,1772,1688,84,104.9763033
Trinidad and Tobago,1994,9264,8825,439,104.9745042
Guadeloupe,2005,2927,2789,138,104.94801
Seychelles,2016,743,708,35,104.9435028
Singapore,1976,11646,11101,545,104.9094676
Barbados,1964,2127,2028,99,104.8816568
Seychelles,2017,754,719,35,104.867872
Kuwait,2012,5950,5677,273,104.8088779
Uruguay,2012,33354,31835,1519,104.7714779
South Korea,1999,247734,236464,11270,104.7660532
Jamaica,2011,16926,16159,767,104.7465809
Georgia,2004,48793,46588,2205,104.7329784
Martinique,2008,2789,2663,126,104.7315058
Guadeloupe,2012,2876,2748,128,104.657933
Belize,2016,1802,1722,80,104.6457607
Georgia,2011,49818,47616,2202,104.624496
Saint Lucia,1988,885,846,39,104.6099291
Greece,2020,131084,125443,5641,104.4968631
Chile,1990,78434,75067,3367,104.4853264
United States,2020,3383729,3238518,145211,104.4838719
Singapore,1975,11447,10958,489,104.4624932
Sri Lanka,1985,98089,93921,4168,104.4377722
Martinique,2011,2730,2614,116,104.4376435
Uruguay,2005,31819,30483,1336,104.3827707
Hong Kong,1974,22043,21122,921,104.3603825
Czechia,2021,139891,134058,5833,104.3511018
Saint Lucia,1981,843,808,35,104.3316832
Bahrain,2010,2401,2302,99,104.3006082
Singapore,1978,12064,11572,492,104.2516419
Singapore,1979,12467,11959,508,104.2478468
Singapore,1972,11522,11053,469,104.2431919
Chile,1965,91648,87919,3729,104.241404
Uruguay,2016,34273,32880,1393,104.236618
Serbia,2000,104042,99844,4198,104.2045591
Italy,2019,641456,615795,25661,104.1671335
Malta,1990,2709,2602,107,104.1122214
Saint Vincent and the Grenadines,2004,785,754,31,104.1114058
Chile,1987,70559,67774,2785,104.1092454
Mayotte,2014,588,565,23,104.0707965
Chile,1986,72209,69399,2810,104.0490497
Guadeloupe,2006,2914,2801,113,104.0342735
Serbia,2001,99008,95184,3824,104.0174819
Malta,1977,2952,2838,114,104.0169133
Belize,2010,1557,1497,60,104.008016
Antigua and Barbuda,2020,574,552,22,103.9855072
Fiji,2001,5764,5544,220,103.968254
Chile,1985,73534,70728,2806,103.9673114
Serbia,2002,102785,98887,3898,103.941873
Antigua and Barbuda,2015,528,508,20,103.9370079
Trinidad and Tobago,2006,9664,9300,364,103.9139785
Chile,1991,74862,72057,2805,103.8927516
Uruguay,1987,29878,28768,1110,103.8584538
Czechia,2020,129289,124567,4722,103.7907311
Seychelles,2007,630,607,23,103.7891269
Malta,1999,3097,2984,113,103.7868633
Saint Vincent and the Grenadines,1974,716,690,26,103.7681159
Georgia,2015,49121,47346,1775,103.7489967
Chile,1989,75453,72745,2708,103.7225926
Puerto Rico,1995,30196,29118,1078,103.7021773
Argentina,1999,289543,279209,10334,103.7011701
North Macedonia,2018,19727,19025,702,103.6898817
Maldives,2014,1157,1116,41,103.6738351
Uruguay,1969,27539,26569,970,103.6508713
Saint Lucia,1976,883,852,31,103.6384977
Trinidad and Tobago,2007,9653,9315,338,103.6285561
Saint Lucia,1980,864,834,30,103.5971223
Romania,2010,259723,250707,9016,103.5962299
Malta,1968,2883,2783,100,103.5932447
Uruguay,2010,32572,31447,1125,103.5774478
Malta,1970,3070,2964,106,103.5762483
Guatemala,2020,96001,92707,3294,103.5531298
Chile,2000,78814,76110,2704,103.5527526
Saint Vincent and the Grenadines,1995,760,734,26,103.5422343
Chile,1973,82988,80152,2836,103.5382773
Uruguay,2001,31178,30113,1065,103.5366785
Trinidad and Tobago,1993,8807,8507,300,103.5265076
Hong Kong,1980,25969,25087,882,103.5157651
Seychelles,2012,651,629,22,103.4976153
Grenada,1995,741,716,25,103.4916201
Israel,2017,44596,43096,1500,103.4806014
Saint Vincent and the Grenadines,1999,833,805,28,103.4782609
North Macedonia,2019,20446,19763,683,103.455953
Grenada,2020,1031,997,34,103.4102307
Serbia,2003,103946,100538,3408,103.3897631
Greece,2019,125016,120923,4093,103.3847986
Chile,1992,74090,71668,2422,103.379472
Uruguay,1996,31110,30107,1003,103.3314512
Chile,1980,73710,71346,2364,103.3134303
Trinidad and Tobago,1999,10014,9693,321,103.3116682
Belarus,1994,130003,125859,4144,103.2925734
Guadeloupe,2009,2922,2829,93,103.2873807
Chile,1984,74669,72293,2376,103.2866253
Grenada,2003,818,792,26,103.2828283
South Korea,1998,245825,238073,7752,103.2561441
Singapore,1985,13347,12927,420,103.2490137
Saint Vincent and the Grenadines,2016,923,894,29,103.2438479
Australia,2021,171469,166082,5387,103.2435785
Fiji,2003,6116,5924,192,103.2410533
Chile,1963,98293,95233,3060,103.2131719
Georgia,2014,49087,47575,1512,103.1781398
Bahrain,1999,1920,1861,59,103.1703385
Chile,1997,78472,76065,2407,103.1643989
Saint Lucia,1994,950,921,29,103.1487514
Uruguay,1990,30210,29293,917,103.1304407
Uruguay,2002,31115,30171,944,103.1288323
Saint Vincent and the Grenadines,2012,859,833,26,103.1212485
Saint Lucia,1983,795,771,24,103.1128405
United Kingdom,2019,603419,585237,18182,103.1067755
Russia,2016,1891015,1834697,56318,103.0696077
North Macedonia,2015,20461,19853,608,103.0625094
Chile,1977,73541,71365,2176,103.0491137
Ireland,2009,28898,28043,855,103.0488892
Malta,2016,3343,3245,98,103.0200308
Greece,1985,92886,90168,2718,103.0143732
Chile,1999,81984,79588,2396,103.0105041
Belize,2011,1555,1510,45,102.9801325
Chile,1981,69871,67858,2013,102.9664888
Malta,1971,3090,3001,89,102.9656781
Kazakhstan,1995,168884,164021,4863,102.9648643
Singapore,1983,13320,12938,382,102.9525429
Greece,2018,120363,117025,3338,102.852382
Guadeloupe,2002,2765,2689,76,102.8263295
Belize,1998,1350,1313,37,102.8179741
Maldives,2013,1141,1110,31,102.7927928
Ukraine,2017,574123,558528,15595,102.7921608
Seychelles,2015,703,684,19,102.7777778
United States,2019,2854838,2778148,76690,102.7604721
Qatar,2006,1754,1707,47,102.7533685
Bahrain,2014,2695,2623,72,102.7449485
Malta,2014,3270,3184,86,102.701005
Dominica,1961,799,778,21,102.6992288
Maldives,2016,1260,1227,33,102.6894866
Greece,2016,118952,115838,3114,102.688237
Chile,1983,74428,72490,1938,102.6734722
Martinique,2009,2758,2687,71,102.6423521
Chile,2002,81079,79000,2079,102.6316456
Russia,1987,1531585,1492331,39254,102.6303816
Turkey,2019,435941,424871,11070,102.6054967
Grenada,2010,828,807,21,102.6022305
Mauritius,2019,11174,10891,283,102.5984758
Uruguay,1972,28319,27608,711,102.5753405
New Zealand,2016,31398,30614,784,102.5609198
Chile,1978,72321,70517,1804,102.5582484
Russia,2017,1826125,1780587,45538,102.5574712
Russia,1986,1497975,1460843,37132,102.54182
Austria,2021,91962,89691,2271,102.5320266
Fiji,2011,6663,6500,163,102.5076923
Chile,1976,79389,77450,1939,102.5035507
United States,1958,1647886,1607673,40213,102.5013171
Chile,1982,69928,68224,1704,102.4976548
Chile,1993,76261,74405,1856,102.494456
Kuwait,2010,5448,5316,132,102.48307
Barbados,1977,2155,2103,52,102.4726581
Belize,2012,1536,1499,37,102.4683122
Guyana,2015,5774,5635,139,102.4667258
North Macedonia,2017,20318,19830,488,102.4609178
United States,1960,1711982,1671107,40875,102.4459834
North Macedonia,2016,20421,19936,485,102.4327849
Grenada,2004,892,871,21,102.4110218
Martinique,2003,2727,2663,64,102.4033045
Barbados,1967,2047,1999,48,102.4012006
United States,1961,1701522,1661721,39801,102.3951674
Greece,2017,124522,121620,2902,102.3861207
United States,1962,1756720,1716019,40701,102.3718269
North Macedonia,2013,19208,18765,443,102.360778
Fiji,2012,6766,6610,156,102.3600605
United States,1965,1828136,1786104,42032,102.3532784
Sri Lanka,1986,95937,93732,2205,102.3524517
United Kingdom,2020,688806,672991,15815,102.3499571
Chile,1972,88658,86623,2035,102.3492606
United States,1963,1813549,1771987,41562,102.3455025
Greece,1986,91783,89680,2103,102.3450045
Saint Vincent and the Grenadines,1998,831,812,19,102.3399015
United States,1972,1963944,1919617,44327,102.3091585
United States,1964,1798051,1757625,40426,102.3000356
Chile,1975,74182,72516,1666,102.297424
Chile,2001,81871,80035,1836,102.2939964
Israel,2016,43966,42981,985,102.2917103
South Korea,1997,244693,239230,5463,102.2835765
Singapore,1970,10790,10550,240,102.2748815
United States,1966,1863149,1821951,41198,102.2612024
United States,1957,1633128,1597038,36090,102.2598085
United States,1971,1927542,1885038,42504,102.2548087
Luxembourg,1991,3830,3746,84,102.2423919
Barbados,1973,2144,2097,47,102.2412971
Maldives,2010,1141,1116,25,102.2401434
Argentina,2012,317144,310203,6941,102.237567
Russia,1988,1569112,1534830,34282,102.2336024
Uruguay,1973,28436,27817,619,102.2252579
Luxembourg,1988,3907,3822,85,102.2239665
United States,1959,1656814,1621018,35796,102.208242
Argentina,2002,291190,284915,6275,102.2024112
Hong Kong,1967,19642,19219,423,102.200947
Kuwait,1985,4710,4609,101,102.1913647
Bahrain,1997,1822,1783,39,102.1873247
United States,1973,1973003,1930819,42184,102.1847724
Chile,1966,90489,88558,1931,102.1804919
Russia,1989,1583743,1549948,33795,102.1803957
United States,1968,1930082,1889161,40921,102.1660938
United States,1967,1851323,1812074,39249,102.1659711
United States,1955,1528717,1496520,32197,102.151458
United States,1956,1564476,1531553,32923,102.1496481
Guatemala,2019,85600,83814,1786,102.1309089
United States,2018,2839205,2780175,59030,102.1232476
United States,1976,1909440,1869770,39670,102.1216513
United States,1975,1892879,1853600,39279,102.1190656
United States,1977,1899597,1860479,39118,102.1025768
United States,1974,1934388,1894914,39474,102.0831552
United States,1969,1921990,1883000,38990,102.070632
United States,1978,1927788,1888740,39048,102.06741
North Macedonia,2012,20134,19727,407,102.0631622
Slovenia,2005,18825,18445,380,102.0601789
Uruguay,2013,32698,32041,657,102.0504978
Chile,1961,91348,89514,1834,102.0488415
Chile,1979,74178,72691,1487,102.0456453
Argentina,1977,238887,234100,4787,102.0448526
Hong Kong,1979,26179,25658,521,102.0305558
Argentina,1992,260153,255015,5138,102.0147834
United States,1970,1921031,1883108,37923,102.0138516
United States,1954,1481091,1452153,28938,101.9927652
Saint Lucia,1989,872,855,17,101.9883041
Serbia,2004,104320,102289,2031,101.9855507
Chile,1968,84560,82921,1639,101.9765801
Guadeloupe,2013,2942,2885,57,101.9757366
Serbia,2005,106771,104725,2046,101.9536882
United States,1953,1517541,1488696,28845,101.9376018
Mauritius,2006,8917,8749,168,101.9202195
Russia,1990,1655993,1624999,30994,101.9073243
Trinidad and Tobago,2012,9616,9437,179,101.8967892
Argentina,1970,222154,218037,4117,101.8882116
Saint Vincent and the Grenadines,1984,706,693,13,101.8759019
Israel,2015,44266,43451,815,101.875676
Antigua and Barbuda,2005,489,480,9,101.875
Russia,2015,1908541,1873440,35101,101.8736122
United States,1980,1989841,1953595,36246,101.8553487
North Macedonia,2009,19060,18713,347,101.8543259
Hong Kong,1976,23189,22767,422,101.85356
Hong Kong,1958,20543,20170,373,101.8492811
Georgia,2012,49348,48452,896,101.8492529
Chile,1959,94491,92781,1710,101.8430498
Israel,2019,46004,45172,832,101.8418489
Hong Kong,1972,21145,20763,382,101.8398112
United States,1979,1913841,1879386,34455,101.8333115
Belarus,1995,133775,131378,2397,101.8245064
Slovenia,2002,18701,18366,335,101.8240227
Slovenia,2003,19451,19103,348,101.8217034
Grenada,1985,783,769,14,101.8205462
Chile,1998,80257,78825,1432,101.8166825
Chile,1995,78531,77134,1397,101.8111339
Uruguay,1977,28919,28406,513,101.8059565
Chile,1967,86840,85305,1535,101.7994256
Guadeloupe,2011,2835,2785,50,101.7953321
Argentina,1993,264402,259747,4655,101.7921285
Saint Lucia,1995,966,949,17,101.7913593
Argentina,1991,253996,249528,4468,101.7905806
Argentina,2013,323327,317641,5686,101.7900712
Hong Kong,1973,21360,20986,374,101.7821405
Chile,1994,75445,74125,1320,101.7807757
Israel,1983,27641,27158,483,101.7784815
Hong Kong,1970,20758,20396,362,101.7748578
Barbados,1979,2128,2091,37,101.7694883
Slovenia,2006,18180,17865,315,101.7632242
Ireland,2018,31140,30601,539,101.7613803
Armenia,2016,28226,27738,488,101.7593193
United States,1950,1452454,1427489,24965,101.7488751
North Macedonia,2008,18982,18657,325,101.7419735
Singapore,1987,13170,12945,225,101.7381228
Hong Kong,1962,20321,19974,347,101.7372584
Slovenia,2001,18508,18192,316,101.7370273
Sri Lanka,1977,103284,101524,1760,101.7335802
Slovenia,2007,18584,18268,316,101.7298007
Trinidad and Tobago,2000,9478,9317,161,101.728024
Singapore,1981,12855,12637,218,101.725093
Martinique,2006,2656,2611,45,101.7234776
Luxembourg,1985,4080,4011,69,101.7202693
Russia,1991,1690657,1662278,28379,101.7072355
Dominica,2019,606,596,10,101.6778523
Kazakhstan,1996,166028,163293,2735,101.6749034
Saint Lucia,1979,850,836,14,101.6746411
Luxembourg,1990,3833,3770,63,101.6710875
Uruguay,1989,29621,29135,486,101.6680968
North Macedonia,2007,19594,19273,321,101.6655425
Chile,2004,86138,84744,1394,101.6449542
Serbia,1999,101444,99809,1635,101.6381288
United States,1952,1496838,1472732,24106,101.6368219
Martinique,2005,2617,2575,42,101.631068
United States,1982,1974797,1943157,31640,101.6282781
United States,1951,1482099,1458412,23687,101.6241638
United States,1981,1977981,1946413,31568,101.6218552
Puerto Rico,1996,29871,29395,476,101.619323
Slovenia,2004,18523,18229,294,101.6128147
Chile,1958,88930,87523,1407,101.6075774
Israel,2018,44537,43833,704,101.6060959
Argentina,1990,256796,252741,4055,101.6044093
Slovenia,2008,18308,18020,288,101.5982242
North Macedonia,2010,19113,18814,299,101.5892421
United States,1983,2019201,1987869,31332,101.5761602
Russia,2018,1828910,1800581,28329,101.5733255
Greece,2015,121485,119604,1881,101.5726899
Argentina,2011,316715,311819,4896,101.5701417
Barbados,1966,2012,1981,31,101.5648662
Argentina,2004,293859,289353,4506,101.5572674
Barbados,2013,2489,2451,38,101.5503876
Romania,2000,255820,251948,3872,101.5368251
Argentina,2007,313772,309024,4748,101.5364502
Grenada,1993,727,716,11,101.5363128
Turkey,2018,426449,420022,6427,101.5301579
Luxembourg,1987,4065,4004,61,101.5234765
Singapore,1980,12502,12318,184,101.493749
United States,2017,2813503,2772099,41404,101.4935975
Bahrain,1987,1569,1546,23,101.4877102
United States,1984,2039369,2009617,29752,101.4804811
Russia,1992,1807441,1781242,26199,101.4708277
Martinique,2015,3055,3011,44,101.4613085
Israel,1975,24600,24247,353,101.4558502
Chile,1996,79123,77989,1134,101.4540512
Jamaica,2009,17222,16980,242,101.4252061
Germany,2020,985572,971767,13805,101.420608
Austria,2020,91599,90324,1275,101.411585
Barbados,1963,2090,2061,29,101.4070839
Slovenia,2009,18750,18491,259,101.4006814
Malta,1985,2915,2875,40,101.3913043
Slovenia,2000,18588,18334,254,101.3854042
Israel,2020,48797,48137,660,101.3710867
Uruguay,1976,28838,28449,389,101.3673591
United States,1985,2086440,2058608,27832,101.3519815
Slovenia,2010,18609,18364,245,101.334132
Seychelles,2004,611,603,8,101.3266998
Argentina,2015,330588,326265,4323,101.3249966
United States,1986,2105361,2077933,27428,101.3199656
Uruguay,1967,26484,26142,342,101.3082396
Grenada,2012,856,845,11,101.3017751
French Guiana,1977,468,462,6,101.2987013
Romania,2001,259603,256309,3294,101.2851675
Uruguay,2015,32967,32549,418,101.2842176
United States,1987,2123323,2096447,26876,101.2819785
Saint Vincent and the Grenadines,1982,717,708,9,101.2711864
Saint Vincent and the Grenadines,2015,879,868,11,101.2672811
Poland,2020,477355,471412,5943,101.2606807
Antigua and Barbuda,1978,402,397,5,101.2594458
Australia,2015,159052,157076,1976,101.2579898
Ireland,2014,29252,28889,363,101.2565336
Ukraine,2014,632296,624547,7749,101.2407393
Greece,1988,92407,91280,1127,101.2346626
Uruguay,2000,30455,30086,369,101.2264841
Chile,1974,78284,77339,945,101.2218932
Romania,1997,279315,275962,3353,101.2150224
Luxembourg,1986,4014,3966,48,101.2102874
Ireland,2012,29186,28837,349,101.2102507
Greece,1987,95656,94521,1135,101.2007914
Serbia,2006,102884,101664,1220,101.2000315
Trinidad and Tobago,1958,7288,7202,86,101.1941127
Romania,1995,271672,268467,3205,101.1938153
Australia,2019,168962,166979,1983,101.1875745
Australia,2008,143946,142269,1677,101.1787529
Ireland,2007,28117,27790,327,101.1766823
Italy,2003,588897,582137,6760,101.1612387
Greece,1983,90586,89547,1039,101.1602845
United States,1988,2167999,2143198,24801,101.1571959
Romania,1999,265194,262164,3030,101.1557651
Malta,2012,3420,3381,39,101.1535049
Uruguay,1997,30454,30108,346,101.1491962
Ireland,2004,28665,28340,325,101.146789
Ireland,2011,28456,28136,320,101.137333
United States,1989,2150466,2126340,24126,101.1346257
United States,1990,2148463,2124914,23549,101.1082331
Luxembourg,1989,4018,3974,44,101.1071968
Slovenia,2011,18699,18495,204,101.1030008
Ireland,2013,29504,29186,318,101.0895635
Ireland,1997,31581,31245,336,101.0753721
Ireland,2001,30212,29891,321,101.0739018
Romania,1998,269166,266312,2854,101.0716753
United States,1991,2169518,2146622,22896,101.066606
Argentina,1995,266171,263363,2808,101.066209
Chile,1970,83166,82292,874,101.0620716
Slovenia,2012,19257,19056,201,101.0547859
Barbados,1972,2108,2086,22,101.05465
Singapore,1969,10287,10180,107,101.0510806
Argentina,2005,293161,290130,3031,101.0447041
Argentina,1998,280180,277302,2878,101.0378576
Argentina,2001,285941,283005,2936,101.0374375
Ireland,2008,28274,27986,288,101.029086
Qatar,2014,2366,2342,24,101.0247652
Israel,1998,36953,36579,374,101.0224446
Saint Kitts and Nevis,2004,396,392,4,101.0204082
Luxembourg,1983,4163,4121,42,101.0191701
Italy,2007,572881,567102,5779,101.0190407
United States,1992,2175613,2153781,21832,101.0136592
Slovenia,1999,18885,18696,189,101.0109114
Guadeloupe,2000,2698,2671,27,101.0108574
Luxembourg,1984,4098,4057,41,101.010599
Romania,1994,266101,263446,2655,101.0077967
Barbados,1968,2045,2025,20,100.9876543
New Zealand,2002,28359,28082,277,100.986397
Ireland,1986,33704,33375,329,100.9857678
Spain,2003,384828,381075,3753,100.9848455
Argentina,2014,322035,318900,3135,100.9830668
North Macedonia,2011,19465,19279,186,100.9647803
Ireland,2005,28260,27991,269,100.9610232
Spain,2001,360131,356716,3415,100.9573442
United States,1993,2268553,2247067,21486,100.9561798
Uruguay,2018,34128,33805,323,100.95548
Israel,2014,42170,41773,397,100.9503746
Puerto Rico,1998,29861,29580,281,100.9499662
Luxembourg,1982,4145,4106,39,100.9498295
Ireland,2000,31391,31096,295,100.9486751
Australia,1971,110650,109612,1038,100.9469766
Ireland,2015,30127,29845,282,100.9448819
Russia,2019,1798307,1781485,16822,100.9442684
Spain,2002,368618,365172,3446,100.9436649
Guadeloupe,2008,2794,2768,26,100.9393064
Uruguay,2019,34807,34484,323,100.9366663
Ireland,2003,29074,28806,268,100.9303617
Spain,1995,346227,343049,3178,100.9263983
Martinique,2004,2647,2623,24,100.9149828
Spain,2004,371934,368567,3367,100.9135381
Italy,2006,558614,553567,5047,100.9117234
Argentina,2016,350117,346954,3163,100.9116482
Uruguay,2020,32637,32343,294,100.9090066
Ireland,2006,28482,28226,256,100.9069652
Ireland,1998,31563,31280,283,100.9047315
Israel,1999,37291,36958,333,100.9010228
Grenada,2009,788,781,7,100.8962868
Israel,2000,37688,37354,334,100.8941479
Spain,1996,351449,348349,3100,100.8899121
United States,2016,2744248,2720154,24094,100.8857587
Israel,1997,36106,35789,317,100.885747
Israel,2007,39948,39600,348,100.8787879
New Zealand,2001,28128,27883,245,100.8786716
Spain,1994,338242,335310,2932,100.8744147
Israel,2013,41479,41120,359,100.8730545
South Korea,2003,246463,244333,2130,100.8717611
